x,y,z,inflammatory_signal,ecm
-210,-510,0,0,0
-190,-510,0,0,0
-170,-510,0,0,0
-150,-510,0,0,0
-130,-510,0,0,0
-110,-510,0,0,0
-90,-510,0,0,0
-70,-510,0,0,0
-50,-510,0,0,0
-30,-510,0,0,0
-10,-510,0,0,0
10,-510,0,0,0
30,-510,0,0,0
50,-510,0,0,0
70,-510,0,0,0
90,-510,0,0,0
110,-510,0,0,0
130,-510,0,0,0
150,-510,0,0,0
170,-510,0,0,0
190,-510,0,0,0
210,-510,0,0,0
230,-510,0,0,0
250,-510,0,0,0
270,-510,0,0,0
290,-510,0,0,0
310,-510,0,0,0
330,-510,0,0,0
350,-510,0,0,0
370,-510,0,0,10
390,-510,0,0,10
410,-510,0,0,10
430,-510,0,0,10
450,-510,0,0,10
470,-510,0,0,10
490,-510,0,0,10
510,-510,0,0,10
530,-510,0,0,10
550,-510,0,0,10
570,-510,0,0,10
590,-510,0,0,10
610,-510,0,0,10
630,-510,0,0,10
650,-510,0,0,10
670,-510,0,0,10
690,-510,0,0,10
710,-510,0,0,10
730,-510,0,0,10
750,-510,0,0,10
770,-510,0,0,10
790,-510,0,0,10
-790,-490,0,0,10
-770,-490,0,0,10
-750,-490,0,0,10
-730,-490,0,0,10
-710,-490,0,0,10
